route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
10100011A11,UON,11A,Highridge,Odeon-Aga Khan-Highridge,3,,,
10300011F11,UON,11F,Ruaka,Odeon-UN-Ruaka,3,,,
10300106011,UON,106,Banana,Odeon-UN-Ruaka-Banana,3,,,
10400010711,UON,107,Ndenderu,Odeon-UN-Ruaka-Ndenderu,3,,,
10200010811,UON,108,Gachie,UN-New Muthaiga-Gachie-Gichagi,3,,,
10000116011,UON,116,Limuru,Koja-Ngara-Banana-Limuru,3,,,
20702000611,UON,6,Eastleigh,Koja-Pangani Flyover-Guru Nanak-Pangani Girls High School-Mlango-Eastleigh,3,,,
21000017B11,UON,17B,Mwiki,Bus Station-Pangani-Roysambu-Kasarani-Mwiki,3,,,
20000002311,UON,23,Westlands,Nation Building-Museum Hill-Graffins College-Westlands,3,,,
20801002511,UON,25,Baba Dogo,Odeon-Pangani-Alssops-Baba Dogo,3,,,
20801025A11,UON,25A,Lucky Summer,Odeon-Pangani-Alssops-Baba Dogo-Lucky Summer,3,,,
20807042011,UON,42,Dandora,Allsops-Rounda-Dandora,3,,,
20901043011,UON,43,Ngumba,Bus Station-Pangani-Alssops-Ngumba,3,,,
21100004412,UON,44,Zimmerman,Odeon-Pangani-Roysabu-Zimmerman-KU,3,,,
20000004512,UON,45,Githurai,Munyu Road-Pangani-Roysabu-Githurai,3,,,
20000004511,UON,45,Kenyatta University,Munyu Road-Pangani-Roysabu-Githurai-Ku,3,,,
21000004911,UON,49,Sunton,Odeon-Pangani-Roysabu-Kasarani-Sunton,3,,,
20100010011,UON,100,Kiambu,O.T.C-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu,3,,,
20100100A11,UON,100A,Kiambu Hospital,Ngara-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu Hospital,3,,,
20100012011,UON,120,Githunguri,Kaka-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu-Githunguri,3,,,
20100012111,UON,121,Ndumberi, Kaka-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu-Ndumberi,3,,,
20000145011,UON,145,Ruiru Town,Munyu Road-Pangani-Roysabu-Githurai-KU-Ruiru,3,,,
20000237011,UON,237,Thika Town,Munyu Road-Pangani-Roysabu-Githurai-KU-Ruiru-Juja-Thika,3,,,
20800203001,UON,2030,Rounder,Allsops-Rounda,3,,,
20701293011,UON,29/30,Mathare North,Ngara-Pangani-Alssops-Drive in-Mathare,3,,,
21100004411,UON,44,Kahawa,Odeon-Pangani-Roysambu-Githurai-Ku,3,,,
30101000311,UON,3,Gikomba,Gikomba-Kariokor-Ngara,3,,,
30100000711,UON,7,Gikomba,Town-Kariokor DC-Gikomba,3,,,
30100011C11,UON,11C,Pangani,Odeon-Pangani Flyover-Pangani Girls High School-Mlango-Pangani Terminus,3,,,
30800001411,UON,14,Kariobangi South,Ronald Ngala-Juja Road-Eastleigh-Huruma-Kariobangi,3,,,
30600017A11,UON,17Aky,Kayole,EastLeigh-Rounda-Umoja 2-Kayole,3,,,
30600018C11,UON,18C,Eastleigh,Eastleigh-Rounda-Dandora-Kayole,3,,,
30800002811,UON,28,Kariobangi South,Gikomba-Eastleigh-Huruma-Kariobangi,3,,,
30907003211,UON,32,Dandora,OTC-Kariokor-Mlango-Rounda-Dandora,3,,,
30007004111,UON,41,Dandora,Gikomba-Rounda-Dandora,3,,,
30000004611,UON,46,Huruma,Ronald Ngala-Juja Road-Eastleigh-Huruma,3,,,
