trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,shape_dist_traveled
1011A111,6:00:00,6:00:00,0812ODE,1,,,
1011A111,6:02:00,6:02:00,0101NGR,2,,,
1011A111,6:04:00,6:04:00,0101JHS,3,,,
1011A111,6:06:00,6:06:00,0101STP,4,,,
1011A111,6:08:00,6:08:00,0111SPS,5,,,
1011A111,6:10:00,6:10:00,0101WBR,6,,,
1011A111,6:12:00,6:12:00,0101AGA,7,,,
1011A111,6:14:00,6:14:00,0111OLB,8,,,
1011A111,6:16:00,6:16:00,0101AKH,9,,,
1011A111,6:18:00,6:18:00,0111AKS,10,,,
1011A111,6:20:00,6:20:00,0101AKE,11,,,
1011A111,6:22:00,6:22:00,0101ARY,12,,,
1011A111,6:24:00,6:24:00,0111NKM,13,,,
1011A111,6:26:00,6:26:00,0101ALM,14,,,
1011A111,6:28:00,6:28:00,0101NRE,15,,,
1011A111,6:30:00,6:30:00,0103MSQ,16,,,
1011A110,6:00:00,6:00:00,0110KSL,1,,,
1011A110,6:02:00,6:02:00,0100CCD,2,,,
1011A110,6:04:00,6:04:00,0110NKT,3,,,
1011A110,6:06:00,6:06:00,0100ARG,4,,,
1011A110,6:08:00,6:08:00,0100AAE,5,,,
1011A110,6:10:00,6:10:00,0110APS,6,,,
1011A110,6:12:00,6:12:00,0110APT,7,,,
1011A110,6:14:00,6:14:00,0110TPA,8,,,
1011A110,6:16:00,6:16:00,0110AGK,9,,,
1011A110,6:18:00,6:18:00,0112ODE,10,,,
1011F111,6:00:00,6:00:00,0112ODE,1,,,
1011F111,6:02:00,6:02:00,0101NGR,2,,,
1011F111,6:04:00,6:04:00,0101JHS,3,,,
1011F111,6:06:00,6:06:00,0101STP,4,,,
1011F111,6:08:00,6:08:00,0111SPS,5,,,
1011F111,6:10:00,6:10:00,0101WBR,6,,,
1011F111,6:12:00,6:12:00,0101AGA,7,,,
1011F111,6:14:00,6:14:00,0111OLB,8,,,
1011F111,6:16:00,6:16:00,0101CPK,9,,,
1011F111,6:18:00,6:18:00,0111RHK,10,,,
1011F111,6:20:00,6:20:00,0111BEK,11,,,
1011F111,6:22:00,6:22:00,0111TUN,12,,,
1011F111,6:24:00,6:24:00,0111RHR,13,,,
1011F111,6:26:00,6:26:00,0111VMA,14,,,
1011F111,6:28:00,6:28:00,0111KRU,15,,,
1011F111,6:30:00,6:30:00,0101REE,16,,,
1011F111,6:32:00,6:32:00,0101ROR,17,,,
1011F111,6:34:00,6:34:00,0101ROK,18,,,
1011F111,6:36:00,6:36:00,0101SHR,19,,,
1011F111,6:38:00,6:38:00,0101DPB,20,,,
1011F111,6:40:00,6:40:00,0113RST,21,,,
1011F110,6:42:00,6:42:00,0100CBR,1,,,
1011F110,6:44:00,6:44:00,0100RBJ,2,,,
1011F110,6:46:00,6:46:00,0100DPA,3,,,
1011F110,6:48:00,6:48:00,0100MRC,4,,,
1011F110,6:50:00,6:50:00,0100RRP,5,,,
1011F110,6:52:00,6:52:00,0100RES,6,,,
1011F110,6:54:00,6:54:00,0100RKH,7,,,
1011F110,6:56:00,6:56:00,0110VMT,8,,,
1011F110,6:58:00,6:58:00,0100RRJ,9,,,
1011F110,7:00:00,7:00:00,0110UNA,10,,,
1011F110,7:02:00,7:02:00,0110MTS,11,,,
1011F110,7:04:00,7:04:00,0100TCP,12,,,
1011F110,7:06:00,7:06:00,0110TPA,13,,,
1011F110,7:08:00,7:08:00,0110AGK,14,,,
1011F110,7:10:00,7:10:00,0112ODE,15,,,
10106111,6:00:00,6:00:00,0102KHJ,1,,,
10106111,6:02:00,6:02:00,0101NGR,2,,,
10106111,6:04:00,6:04:00,0101JHS,3,,,
10106111,6:06:00,6:06:00,0101STP,4,,,
10106111,6:08:00,6:08:00,0111SPS,5,,,
10106111,6:10:00,6:10:00,0101WBR,6,,,
10106111,6:12:00,6:12:00,0101AGA,7,,,
10106111,6:14:00,6:14:00,0111OLB,8,,,
10106111,6:16:00,6:16:00,0101CPK,9,,,
10106111,6:18:00,6:18:00,0111RHK,10,,,
10106111,6:20:00,6:20:00,0111BEK,11,,,
10106111,6:22:00,6:22:00,0111TUN,12,,,
10106111,6:24:00,6:24:00,0111RHR,13,,,
10106111,6:26:00,6:26:00,0111VMA,14,,,
10106111,6:28:00,6:28:00,0111KRU,15,,,
10106111,6:30:00,6:30:00,0101REE,16,,,
10106111,6:32:00,6:32:00,0101ROR,17,,,
10106111,6:34:00,6:34:00,0101ROK,18,,,
10106111,6:36:00,6:36:00,0101SHR,19,,,
10106111,6:38:00,6:38:00,0101DPB,20,,,
10106111,6:40:00,6:40:00,0101RKJ,21,,,
10106111,6:42:00,6:42:00,0101CAV,22,,,
10106111,6:44:00,6:44:00,0111KEA,23,,,
10106111,6:46:00,6:46:00,0101MUC,24,,,
10106111,6:48:00,6:48:00,0101GOG,25,,,
10106111,6:50:00,6:50:00,0111JEK,26,,,
10106111,6:52:00,6:52:00,0101NTO,27,,,
10106111,6:54:00,6:54:00,0101MCC,28,,,
10106111,6:56:00,6:56:00,0101LSC,29,,,
10106111,6:58:00,6:58:00,0101MIC,30,,,
10106111,7:00:00,7:00:00,0101MDS,31,,,
10106111,7:02:00,7:02:00,0111KIV,32,,,
10106111,7:04:00,7:04:00,0101SHT,33,,,
10106111,7:06:00,7:06:00,0101NJK,34,,,
10106111,7:08:00,7:08:00,0101KAT,35,,,
10106111,7:10:00,7:10:00,0101VRY,36,,,
10106111,7:12:00,7:12:00,0101ZAK,37,,,
10106111,7:14:00,7:14:00,0101LIK,38,,,
10106111,7:16:00,7:16:00,0101MOM,39,,,
10106111,7:18:00,7:18:00,0101MKB,40,,,
10106111,7:20:00,7:20:00,0101KOB,41,,,
10106111,7:22:00,7:22:00,0113BAA,42,,,
10106110,7:24:00,7:24:00,0100MOM,1,,,
10106110,7:26:00,7:26:00,0100LIK,2,,,
10106110,7:28:00,7:28:00,0100CHL,3,,,
10106110,7:30:00,7:30:00,0100VIN,4,,,
10106110,7:32:00,7:32:00,0100NJT,5,,,
10106110,7:34:00,7:34:00,0100SHT,6,,,
10106110,7:36:00,7:36:00,0110TVM,7,,,
10106110,7:38:00,7:38:00,0100KSS,8,,,
10106110,7:40:00,7:40:00,0100MIS,9,,,
10106110,7:42:00,7:42:00,0100LSM,10,,,
10106110,7:44:00,7:44:00,0100TTM,11,,,
10106110,7:46:00,7:46:00,0100NAM,12,,,
10106110,7:48:00,7:48:00,0110WAM,13,,,
10106110,7:50:00,7:50:00,0100GUG,14,,,
10106110,7:52:00,7:52:00,0100PEF,15,,,
10106110,7:54:00,7:54:00,0110GTH,16,,,
10106110,7:56:00,7:56:00,0100VEV,17,,,
10106110,7:58:00,7:58:00,0100RBJ,18,,,
10106110,8:00:00,8:00:00,0100DPA,19,,,
10106110,8:02:00,8:02:00,0100MRC,20,,,
10106110,8:04:00,8:04:00,0100RRP,21,,,
10106110,8:06:00,8:06:00,0100RES,22,,,
10106110,8:08:00,8:08:00,0100RKH,23,,,
10106110,8:10:00,8:10:00,0110VMT,24,,,
10106110,8:12:00,8:12:00,0100RRJ,25,,,
10106110,8:14:00,8:14:00,0110UNA,26,,,
10106110,8:16:00,8:16:00,0110MTS,27,,,
10106110,8:18:00,8:18:00,0100TCP,28,,,
10106110,8:20:00,8:20:00,0110TPA,29,,,
10106110,8:22:00,8:22:00,0110AGK,30,,,
10106110,8:24:00,8:24:00,0102KHJ,31,,,
10107111,6:00:00,6:00:00,0112ODE,1,,,
10107111,6:02:00,6:02:00,0101NGR,2,,,
10107111,6:04:00,6:04:00,0101JHS,3,,,
10107111,6:06:00,6:06:00,0101STP,4,,,
10107111,6:08:00,6:08:00,0111SPS,5,,,
10107111,6:10:00,6:10:00,0101WBR,6,,,
10107111,6:12:00,6:12:00,0101AGA,7,,,
10107111,6:14:00,6:14:00,0111OLB,8,,,
10107111,6:16:00,6:16:00,0101CPK,9,,,
10107111,6:18:00,6:18:00,0111RHK,10,,,
10107111,6:20:00,6:20:00,0111BEK,11,,,
10107111,6:22:00,6:22:00,0111TUN,12,,,
10107111,6:24:00,6:24:00,0111RHR,13,,,
10107111,6:26:00,6:26:00,0111VMA,14,,,
10107111,6:28:00,6:28:00,0111KRU,15,,,
10107111,6:30:00,6:30:00,0101REE,16,,,
10107111,6:32:00,6:32:00,0101ROR,17,,,
10107111,6:34:00,6:34:00,0101ROK,18,,,
10107111,6:36:00,6:36:00,0101SHR,19,,,
10107111,6:38:00,6:38:00,0101DPB,20,,,
10107111,6:40:00,6:40:00,0111RST,21,,,
10107111,6:42:00,6:42:00,0101RCK,22,,,
10107111,6:44:00,6:44:00,0101RDC,23,,,
10107111,6:46:00,6:46:00,0101RCC,24,,,
10107111,6:48:00,6:48:00,0101SLT,25,,,
10107111,6:50:00,6:50:00,0101PMR,26,,,
10107111,6:52:00,6:52:00,0101PMV,27,,,
10107111,6:54:00,6:54:00,0111MCM,28,,,
10107111,6:56:00,6:56:00,0101KTO,29,,,
10107111,6:58:00,6:58:00,0101GRJ,30,,,
10107111,7:00:00,7:00:00,0101RMY,31,,,
10107111,7:02:00,7:02:00,0111AMB,32,,,
10107111,7:04:00,7:04:00,0101AME,33,,,
10107111,7:06:00,7:06:00,0101CHC,34,,,
10107111,7:08:00,7:08:00,0101FRK,35,,,
10107111,7:10:00,7:10:00,0111NDS,36,,,
10107111,7:12:00,7:12:00,0101REN,37,,,
10107111,7:14:00,7:14:00,0101NDJ,38,,,
10107111,7:16:00,7:16:00,0101NSA,39,,,
10107111,7:18:00,7:18:00,0101SAN,40,,,
10107111,7:20:00,7:20:00,0113KAR,41,,,
10107110,7:22:00,7:22:00,0110KRS,1,,,
10107110,7:24:00,7:24:00,0100STJ,2,,,
10107110,7:26:00,7:26:00,0100STN,3,,,
10107110,7:28:00,7:28:00,0100VDA,4,,,
10107110,7:30:00,7:30:00,0100NDT,5,,,
10107110,7:32:00,7:32:00,0110NGP,6,,,
10107110,7:34:00,7:34:00,0110NSG,7,,,
10107110,7:36:00,7:36:00,0100NKD,8,,,
10107110,7:38:00,7:38:00,0100CTC,9,,,
10107110,7:40:00,7:40:00,0100ASD,10,,,
10107110,7:42:00,7:42:00,0110AST,11,,,
10107110,7:44:00,7:44:00,0100RYA,12,,,
10107110,7:46:00,7:46:00,0100MFB,13,,,
10107110,7:48:00,7:48:00,0110PMT,14,,,
10107110,7:50:00,7:50:00,0100JYL,15,,,
10107110,7:52:00,7:52:00,0100SLG,16,,,
10107110,7:54:00,7:54:00,0100RCN,17,,,
10107110,7:56:00,7:56:00,0100RRD,18,,,
10107110,7:58:00,7:58:00,0100CBR,19,,,
10107110,8:00:00,8:00:00,0100RBJ,20,,,
10107110,8:02:00,8:02:00,0100DPA,21,,,
10107110,8:04:00,8:04:00,0100MRC,22,,,
10107110,8:06:00,8:06:00,0100RRP,23,,,
10107110,8:08:00,8:08:00,0100RES,24,,,
10107110,8:10:00,8:10:00,0100RKH,25,,,
10107110,8:12:00,8:12:00,0110VMT,26,,,
10107110,8:14:00,8:14:00,0100RRJ,27,,,
10107110,8:16:00,8:16:00,0110UNA,28,,,
10107110,8:18:00,8:18:00,0110MTS,29,,,
10107110,8:20:00,8:20:00,0100TCP,30,,,
10107110,8:22:00,8:22:00,0110TPA,31,,,
10107110,8:24:00,8:24:00,0110AGK,32,,,
10107110,8:26:00,8:26:00,0112ODE,33,,,
10108111,6:00:00,6:00:00,0112POL,1,,,
10108111,6:02:00,6:02:00,0101MTH,2,,,
10108111,6:04:00,6:04:00,0101NYR,3,,,
10108111,6:06:00,6:06:00,0101NYG,4,,,
10108111,6:08:00,6:08:00,0101NYP,5,,,
10108111,6:10:00,6:10:00,0101NGG,6,,,
10108111,6:12:00,6:12:00,0101RSH,7,,,
10108111,6:14:00,6:14:00,0101SDA,8,,,
10108111,6:16:00,6:16:00,0101KKB,9,,,
10108111,6:18:00,6:18:00,0111KNA,10,,,
10108111,6:20:00,6:20:00,0101CHF,11,,,
10108111,6:22:00,6:22:00,0101POW,12,,,
10108111,6:24:00,6:24:00,0101JAK,13,,,
10108111,6:26:00,6:26:00,0113GCH,14,,,
10108110,6:28:00,6:28:00,0100JAK,1,,,
10108110,6:30:00,6:30:00,0100POW,2,,,
10108110,6:32:00,6:32:00,0100KNA,3,,,
10108110,6:34:00,6:34:00,0110KKB,4,,,
10108110,6:36:00,6:36:00,0100CHE,5,,,
10108110,6:38:00,6:38:00,0100NMT,6,,,
10108110,6:40:00,6:40:00,0112POL,7,,,
10116111,6:00:00,6:00:00,0112LKT,1,,,
10116111,6:02:00,6:02:00,0101JHS,2,,,
10116111,6:04:00,6:04:00,0101STP,3,,,
10116111,6:06:00,6:06:00,0111SPS,4,,,
10116111,6:08:00,6:08:00,0101WBR,5,,,
10116111,6:10:00,6:10:00,0101AGA,6,,,
10116111,6:12:00,6:12:00,0111OLB,7,,,
10116111,6:14:00,6:14:00,0101CPK,8,,,
10116111,6:16:00,6:16:00,0111RHK,9,,,
10116111,6:18:00,6:18:00,0111BEK,10,,,
10116111,6:20:00,6:20:00,0111TUN,11,,,
10116111,6:22:00,6:22:00,0111RHR,12,,,
10116111,6:24:00,6:24:00,0111VMA,13,,,
10116111,6:26:00,6:26:00,0111KRU,14,,,
10116111,6:28:00,6:28:00,0101REE,15,,,
10116111,6:30:00,6:30:00,0101ROR,16,,,
10116111,6:32:00,6:32:00,0101ROK,17,,,
10116111,6:34:00,6:34:00,0101SHR,18,,,
10116111,6:36:00,6:36:00,0101DPB,19,,,
10116111,6:38:00,6:38:00,0101RKJ,20,,,
10116111,6:40:00,6:40:00,0101CAV,21,,,
10116111,6:42:00,6:42:00,0111KEA,22,,,
10116111,6:44:00,6:44:00,0101MUC,23,,,
10116111,6:46:00,6:46:00,0101GOG,24,,,
10116111,6:48:00,6:48:00,0111JEK,25,,,
10116111,6:50:00,6:50:00,0101NTO,26,,,
10116111,6:52:00,6:52:00,0101MCC,27,,,
10116111,6:54:00,6:54:00,0101LSC,28,,,
10116111,6:56:00,6:56:00,0101MIC,29,,,
10116111,6:58:00,6:58:00,0101MDS,30,,,
10116111,7:00:00,7:00:00,0111KIV,31,,,
10116111,7:02:00,7:02:00,0101SHT,32,,,
10116111,7:04:00,7:04:00,0101NJK,33,,,
10116111,7:06:00,7:06:00,0101KAT,34,,,
10116111,7:08:00,7:08:00,0101VRY,35,,,
10116111,7:10:00,7:10:00,0101ZAK,36,,,
10116111,7:12:00,7:12:00,0101LIK,37,,,
10116111,7:14:00,7:14:00,0101MOM,38,,,
10116111,7:16:00,7:16:00,0101MKB,39,,,
10116111,7:18:00,7:18:00,0101KOB,40,,,
10116111,7:20:00,7:20:00,0111BAA,41,,,
10116111,7:22:00,7:22:00,0111MKT,42,,,
10116111,7:24:00,7:24:00,0101KME,43,,,
10116111,7:26:00,7:26:00,0101MRB,44,,,
10116111,7:28:00,7:28:00,0101KCK,45,,,
10116111,7:30:00,7:30:00,0101LMC,46,,,
10116111,7:32:00,7:32:00,0101GVS,47,,,
10116111,7:34:00,7:34:00,0101TIG,48,,,
10116111,7:40:00,7:40:00,0113LMD,49,,,
10116110,7:42:00,7:42:00,0100LPS,1,,,
10116110,7:44:00,7:44:00,0100TIG,2,,,
10116110,7:46:00,7:46:00,0100GVS,3,,,
10116110,7:48:00,7:48:00,0100LMC,4,,,
10116110,7:50:00,7:50:00,0100KCK,5,,,
10116110,7:52:00,7:52:00,0100MRB,6,,,
10116110,7:56:00,7:56:00,0110MKT,7,,,
10116110,7:58:00,7:58:00,0110BAA,8,,,
